Source,Station,Latitude,Longitude
EMP,NZ002,38.06027777777778,-122.20694444444445
EMP,NZ003,38.052499999999995,-122.17833333333334
EMP,NZ004,38.02916666666667,-122.15833333333335
EMP,NZ005,38.031666666666666,-122.13527777777779
EMP,NZ020,38.05972222222222,-122.10972222222222
EMP,NZ022,38.07194444444445,-122.0961111111111
EMP,NZ024,38.09305555555556,-122.06916666666666
EMP,NZ028,38.117222222222225,-122.04722222222222
EMP,NZ030,38.11527777777778,-122.05194444444444
EMP,NZ032,38.17027777777778,-122.02083333333333
EMP,NZ033,38.13527777777778,-121.91222222222223
EMP,NZ034,38.07777777777778,-121.88333333333334
EMP,NZ036,38.09166666666667,-122.01416666666667
EMP,NZ038,38.074444444444445,-121.9888888888889
EMP,NZ040,38.073888888888895,-121.93666666666667
EMP,NZ042,38.049166666666665,-122.09222222222222
EMP,NZ044,38.065,-122.0611111111111
EMP,NZ046,38.065,-122.03416666666666
EMP,NZ048,38.059999999999995,-121.99583333333334
EMP,NZ050,38.058055555555555,-121.96527777777779
EMP,NZ052,38.046388888888885,-121.91722222222222
EMP,NZ054,38.045833333333334,-121.9063888888889
EMP,NZ056,38.04888888888889,-121.88472222222222
EMP,NZ058,38.05972222222222,-121.86833333333333
EMP,NZ060,38.06444444444444,-121.82888888888888
EMP,NZ062,38.06166666666666,-121.7961111111111
EMP,NZ064,38.084722222222226,-121.73805555555556
EMP,NZ066,38.10861111111111,-121.71444444444445
EMP,NZ068,38.14805555555556,-121.68361111111112
EMP,NZ069,38.17222222222222,-121.6438888888889
EMP,NZ070,38.177499999999995,-121.66666666666667
EMP,NZ071,38.21138888888889,-121.66472222222222
EMP,NZ072,38.031666666666666,-121.83527777777778
EMP,NZ074,38.02222222222222,-121.80361111111111
EMP,NZ076,38.02194444444444,-121.76361111111112
EMP,NZ078,38.0475,-121.70666666666666
EMP,NZ080,38.07333333333334,-121.67666666666668
EMP,NZ082,38.08972222222222,-121.65083333333334
EMP,NZ084,38.103611111111114,-121.60555555555555
EMP,NZ086,38.07777777777778,-121.57027777777778
EMP,NZ088,38.05416666666667,-121.51416666666667
EMP,NZ090,38.00194444444445,-121.44916666666667
EMP,NZ092,37.97833333333333,-121.38194444444444
EMP,NZ098,37.97083333333334,-121.53444444444445
EMP,NZ099,38.25833333333333,-121.69166666666668
EMP,NZ100,38.19694444444444,-121.61583333333333
EMP,NZ101,38.23777777777778,-121.6713888888889
EMP,NZ103,38.1725,-121.5925
EMP,NZ104,38.05638888888888,-121.66333333333334
EMP,NZ155,38.27166666666667,-121.66055555555556
EMP,NZ161,38.341944444444444,-121.64361111111111
EMP,NZ165,38.405,-121.61166666666666
EMP,NZ169,38.47,-121.58388888888888
EMP,NZ295,37.971111111111114,-122.4325
EMP,NZ300,38.01111111111111,-122.4
EMP,NZ305,38.040277777777774,-122.35
EMP,NZ310,38.026666666666664,-122.3236111111111
EMP,NZ325,38.05777777777777,-122.28888888888889
EMP,NZ338,38.066111111111105,-122.24305555555556
EMP,NZ340,38.10861111111111,-122.2786111111111
EMP,NZ41A,38.07083333333334,-122.41111111111111
EMP,NZC03,38.34777777777778,-121.54027777777777
EMP,NZC09,37.83444444444444,-121.55388888888889
EMP,NZC13,38.11666666666667,-121.49722222222222
EMP,NZD06,38.044444444444444,-122.11666666666666
EMP,NZD11,38.04277777777778,-121.79277777777777
EMP,NZD14,38.018055555555556,-121.71055555555556
EMP,NZD15,38.052499999999995,-121.68833333333333
EMP,NZD16,38.09722222222222,-121.66666666666667
EMP,NZD19,38.04388888888889,-121.61361111111111
EMP,NZD28,37.98277777777778,-121.57722222222222
EMP,NZD41,38.03055555555555,-122.37083333333332
EMP,NZEZ2,NA,NA
EMP,NZEZ6,NA,NA
EMP,NZEZ2SJR,NA,NA
EMP,NZEZ6SJR,NA,NA
EMP,NZM01,38.24138888888889,-121.55138888888888
EMP,NZM02,38.15083333333333,-121.59638888888888
EMP,NZM03,38.14555555555555,-121.55666666666666
EMP,NZM04,37.97972222222222,-121.47416666666666
EMP,NZM06,38.14111111111111,-121.5
EMP,NZM07,38.126111111111115,-121.49527777777777
EMP,NZM08,38.04416666666666,-121.52916666666667
EMP,NZM09,38.08361111111111,-121.47
EMP,NZM10,38.04361111111111,-121.4263888888889
EMP,NZM12,NA,NA
EMP,NZP02,38.233333333333334,-121.4888888888889
EMP,NZP04,38.169999999999995,-121.44722222222222
EMP,NZP10,37.891666666666666,-121.4888888888889
EMP,NZS42,38.18055555555555,-122.04722222222222
STN,323,38.0483055556,-122.282805556
STN,340,38.1039130566,-122.269452088
STN,342,38.1458611111,-122.285083333
STN,405,38.0380579308,-122.150504388
STN,411,38.0513055556,-122.083305556
STN,418,38.0648055556,-122.097805556
STN,501,38.0733770283,-122.022458953
STN,504,38.0610555556,-122.013722222
STN,508,38.0455576963,-121.923002692
STN,513,38.0594581794,-121.864004686
STN,519,38.0723055556,-121.959694444
STN,520,38.0328055556,-121.869305556
STN,602,38.114,-122.046194444
STN,606,38.1677573085,-122.022009075
STN,609,38.1671944444,-121.938
STN,610,38.1188055556,-121.889194444
STN,704,38.0677613102,-121.775007658
STN,706,38.0900598201,-121.73900413
STN,707,38.1122585442,-121.706006162
STN,711,38.1733571745,-121.669003881
STN,713,38.20712,-121.66008
STN,716,38.23787,-121.68438
STN,719,38.33428,-121.64733
STN,721,38.26815,-121.70277
STN,723,38.23615,-121.67348
STN,795,38.5377,-121.58468
STN,796,38.47387,-121.5844
STN,797,38.40462,-121.6156
STN,801,38.0556111111,-121.847
STN,804,38.0205618811,-121.79400495
STN,809,38.0539573964,-121.686002605
STN,812,38.0886595205,-121.640508478
STN,815,38.08,-121.569805556
STN,902,38.0261613097,-121.583005538
STN,906,38.0539568689,-121.51100604
STN,910,37.998358703,-121.444004722
STN,912,37.9622610021,-121.364003488
STN,914,37.9715,-121.52
STN,915,37.940559818,-121.559002744
STN,918,37.8593055556,-121.568805556
STN,919,38.1048055556,-121.492
STN,Mont,38.14386583,-121.90888889
STN,Honk,38.0728,-121.92111111
STN,FRP Grizz,38.113421,-121.98897
STN,722,38.255028,-121.688583
20mm,997,NA,NA
20mm,998,NA,NA
20mm,999,NA,NA
20mm,323,38.04288888888889,-122.28630555555556
20mm,328,38.06030555555555,-122.35
20mm,329,38.06361111111111,-122.304
20mm,334,38.07638888888889,-122.338
20mm,335,38.071111111111115,-122.324
20mm,336,38.06108333333333,-122.278
20mm,340,38.099222222222224,-122.26327777777777
20mm,341,38.127250000000004,-122.27877777777778
20mm,342,38.14625,-122.28875
20mm,343,38.182361111111106,-122.30927777777778
20mm,344,38.212694444444445,-122.30869444444444
20mm,345,38.22383333333334,-122.30897222222222
20mm,346,38.23638888888889,-122.28716666666666
20mm,405,38.03991666666666,-122.14672222222222
20mm,411,38.05022222222222,-122.07652777777777
20mm,418,38.0675,-122.09555555555555
20mm,501,38.07333333333334,-122.02633333333333
20mm,504,38.051944444444445,-121.98608333333334
20mm,508,38.04716666666666,-121.91722222222222
20mm,513,38.058861111111106,-121.86774999999999
20mm,519,38.07475,-121.95808333333333
20mm,520,38.03216666666667,-121.86311111111111
20mm,602,38.11555555555556,-122.04239166666666
20mm,606,38.17058333333333,-122.02791666666667
20mm,609,38.16708333333333,-121.93783333333333
20mm,610,38.122194444444446,-121.88911111111112
20mm,703,38.04861111111111,-121.79738888888889
20mm,704,38.066583333333334,-121.79031111111111
20mm,705,38.097611111111114,-121.70875000000001
20mm,706,38.086083333333335,-121.75044444444444
20mm,707,38.114694444444446,-121.70786111111111
20mm,711,38.177416666666666,-121.66225
20mm,716,38.23855555555556,-121.68391666666668
20mm,801,38.04369444444444,-121.844
20mm,802,38.020833333333336,-121.7303888888889
20mm,804,38.016444444444446,-121.79130555555555
20mm,809,38.053777777777775,-121.69302777777779
20mm,812,38.08991666666667,-121.63991666666668
20mm,815,38.087138888888894,-121.57113888888888
20mm,901,38.04625,-121.6185
20mm,902,38.02038888888889,-121.58266666666667
20mm,906,38.05002777777778,-121.50647222222223
20mm,910,38.005,-121.45302777777778
20mm,912,37.96641666666667,-121.36855555555555
20mm,914,37.9715,-121.52
20mm,915,37.94427777777778,-121.56788888888889
20mm,918,37.859,-121.56713888888889
20mm,919,38.10519444444444,-121.49458333333334
20mm,330,38.06361111111111,-122.304
20mm,347,38.25361111111111,-122.28469444444444
20mm,348,38.27436111111111,-122.28352777777778
20mm,349,38.28633333333333,-122.28436111111111
20mm,718,38.257555555555555,-121.72902777777777
20mm,720,38.26263888888889,-121.77927777777778
20mm,723,38.23725,-121.67308333333334
20mm,724,38.25625,-121.65208333333334
20mm,794,NA,NA
20mm,795,NA,NA
20mm,796,NA,NA
20mm,797,NA,NA
20mm,798,NA,NA
20mm,799,NA,NA
20mm,726,38.283055555555556,-121.64383333333333
20mm,719,38.3335,-121.64750000000001
FRP,501 FRP,38.07447,-122.01588
FRP,520 FRP,38.04482,-121.87193
FRP,602FRP,38.12129217,-122.0067224
FRP,609 FRP,38.18178043,-121.9139374
FRP,703 FRP,38.0430953,-121.7992028
FRP,705 FRP,38.08988506,-121.7090585
FRP,706 FRP,38.08294,-121.72507
FRP,720 FRP,38.25995,-121.7926
FRP,723 FRP,38.24355,-121.68453
FRP,724 FRP,38.24246447,-121.6618801
FRP,726 FRP,38.25811292,-121.653526
FRP,801 FRP,38.04218957,-121.8444517
FRP,Barker rip rap,38.26531,-121.78379
FRP,BK1,38.26781949,-121.7898314
FRP,BK2,38.26321378,-121.7803662
FRP,Blacklock,38.18031,-121.90878
FRP,Bradmoor,38.18248,-121.92172
FRP,BROISL,38.039,-121.85761
FRP,Browns Channel,38.04050271,-121.8675863
FRP,Browns1,38.03813016,-121.8577899
FRP,CA3,38.28601,-121.72101
FRP,Cache,NA,NA
FRP,CC1,38.26030111,-121.7811813
FRP,CC2,38.25995987,-121.7906483
FRP,Decker Breach,38.08360788,-121.723387
FRP,Decker BS1,38.10404278,-121.710669
FRP,Decker BS2,38.09872661,-121.7090939
FRP,Decker BS3,38.09689579,-121.7092772
FRP,Decker Inside,38.08512,-121.72336
FRP,Dow 2,38.02324421,-121.8333619
FRP,Dow 3,38.02191299,-121.8253262
FRP,Dow 4,38.02278941,-121.8294301
FRP,Dow 5,38.02188756,-121.8336971
FRP,Dow Breach,38.02375735,-121.8272565
FRP,Dow Outside,38.024821,-121.82609
FRP,Fallouts1,38.29586,-121.68886
FRP,Fallouts2,38.296002,-121.686518
FRP,Flyway,38.36414,-121.6444767
FRP,Headreach,38.03228,-121.47833
FRP,Horsebend1,38.08258782,-121.7280776
FRP,Horsebend2,38.08403422,-121.7146892
FRP,HorseBend3,38.09929728,-121.7079337
FRP,HS2,38.30367327,-121.7312177
FRP,HS3,38.27772992,-121.7105386
FRP,LI001E,38.24204,-121.68239
FRP,LI001W,38.27719,-121.69406
FRP,LI002E,38.246362,-121.678139
FRP,LI002W,38.269292,-121.691395
FRP,LI003E,38.255043,-121.672072
FRP,LI003W,38.257888,-121.690273
FRP,LI004E,38.26514,-121.671557
FRP,LI004W,38.25268,-121.686263
FRP,LI005E,38.273775,-121.66693
FRP,LI005W,38.244607,-121.686421
FRP,LI006W,38.28232,-121.69229
FRP,LI007E,38.28417,-121.66532
FRP,LI008E,38.28899,-121.66651
FRP,LI008W,38.28759,-121.69197
FRP,Liberty FAV,38.29607,-121.69193
FRP,Liberty rip rap,38.2785,-121.69402
FRP,Liberty SAV,38.29003,-121.6918
FRP,Liberty tules,38.29617,-121.68986
FRP,Liberty1,38.26962,-121.67718
FRP,Liberty2,38.27565,-121.67599
FRP,Liberty3,38.24967,-121.67701
FRP,Liberty4,38.24771,-121.67861
FRP,Liberty5,38.26238,-121.67883
FRP,Liberty6,38.26704,-121.6879
FRP,LinBr,38.25866311,-121.7925665
FRP,Lindsey FAV,38.25951823,-121.7975475
FRP,Lindsey SAV,38.25978,-121.7923
FRP,Lindsey tules,38.25902,-121.79259
FRP,LN1,38.26026903,-121.7616752
FRP,LN2,38.25814901,-121.738121
FRP,LN3,38.24998083,-121.713593
FRP,Miner rip rap,38.24232,-121.66168
FRP,Miner SAV,38.25687,-121.6527
FRP,Miner Tules,38.23414087,-121.6691908
FRP,MinSlo1,38.24640849,-121.6595325
FRP,MINSLO2,38.26363244,-121.6470267
FRP,MinSlo3,38.27997313,-121.6415524
FRP,NELiberty,38.29183335,-121.6732488
FRP,Nurse1,38.19274121,-121.9265354
FRP,NWLiberty,38.29307247,-121.6861237
FRP,ProBr,38.24394144,-121.6636248
FRP,ProSlough,38.31306549,-121.6671414
FRP,Rep 1 channel,38.08183,-121.72399
FRP,Rep 1 Wetland,38.08307,-121.72206
FRP,Rep 2 channel,38.08558,-121.70901
FRP,Rep 2 wetland,38.08766,-121.71127
FRP,Rep 3 channel,38.10013,-121.70862
FRP,Rep 3 Wetland,38.10054,-121.70925
FRP,RYEISL,38.08098,-122.01718
FRP,Ryer1,38.08547775,-122.018814
FRP,Ryer2,38.08322056,-122.0083422
FRP,Ryer3,38.07724609,-122.0136547
FRP,Ryer4,38.07781685,-122.0034729
FRP,SELiberty,38.25910821,-121.677316
FRP,Shag SAV/FAV,38.27997,-121.69346
FRP,shag1,38.3098208,-121.6928649
FRP,Shag2,38.27849914,-121.6934933
FRP,SJ1,38.03217,-121.47817
FRP,SJ2,38.03201,-121.47786
FRP,SJ3,38.00916,-121.45679
FRP,SJ4,38.00804,-121.4561
FRP,SJ5,38.00391,-121.45036
FRP,SJ6,38.00345,-121.45008
FRP,SJ7,37.99771,-121.44746
FRP,SJ8,37.99752,-121.44749
FRP,SoPro1,38.24924019,-121.6637237
FRP,SoPro2,38.24498926,-121.66946
FRP,SoPro3,38.23894736,-121.6687814
FRP,SoPro4,38.25147542,-121.6603186
FRP,SoPro5,38.24192,-121.66946
FRP,SoPro6,38.23722,-121.6692
FRP,SoPro7,38.24526063,-121.6604141
FRP,SS1,NA,NA
FRP,Stacy's Island,38.0947,-121.59039
FRP,Stairsteps1,38.32666076,-121.68302919999999
FRP,Stairsteps2,38.33389898,-121.6739171
FRP,Stairsteps3,38.34445786,-121.6554718
FRP,substrates1,38.29976,-121.68925
FRP,substrates2,38.29964,-121.69061
FRP,SWLiberty,38.26131864,-121.6860805
FRP,throwtraps,38.16935,-121.41541
FRP,Toedrain1,38.35634969,-121.6418877
FRP,TR1,38.1207568,-121.9818389
FRP,TR2,38.12277207,-121.9860338
FRP,TR3,38.1283278,-121.9895781
FRP,TR4,38.13487,-121.99668
FRP,TR5,38.13487,-121.99668
FRP,TR6,38.1136,-121.98169
FRP,TR7,38.11378,-121.98161
FRP,Webb,38.09502792,-121.5879041
FRP,Wildlands,38.33402,-121.67107
FRP,WinBr,38.04592853,-121.847501
FRP,Wings 1,38.22694,-122.03591
FRP,Wings Brood Pond,38.22601,-122.03826
FRP,Winter 1,38.04965383,-121.8488996
FRP,Winter 2,38.03794338,-121.8442846
FRP,Winter 3,38.03060978,-121.8414193
FRP,Winter 4,38.05228908,-121.856805
FRP,Winter 5,38.05212368,-121.8542861
FMWT,340,38.10508,-122.26988
FMWT,405,38.03353,-122.15815
FMWT,411,38.06117,-122.06828
FMWT,416,38.0702,-122.09415
FMWT,418,38.09383,-122.06973
FMWT,501,38.06167,-122.01955
FMWT,502,38.05997,-122.00397
FMWT,504,38.05945,-121.9767
FMWT,508,38.04813,-121.91492
FMWT,513,38.0592,-121.86842
FMWT,519,38.07378,-121.94725
FMWT,602,38.11783,-122.04183
FMWT,605,38.14853,-122.05738
FMWT,606,38.1698,-122.02177
FMWT,608,38.0887,-121.88332
FMWT,609,38.16771,-121.9347
FMWT,704,38.07087,-121.77892
FMWT,706,38.0903,-121.74
FMWT,707,38.11397,-121.70797
FMWT,711,38.17595,-121.67028
FMWT,716,38.23787,-121.68438
FMWT,719,38.33428,-121.64733
FMWT,721,38.26815,-121.70277
FMWT,723,38.23615,-121.67348
FMWT,795,38.5377,-121.58468
FMWT,796,38.47387,-121.5844
FMWT,797,38.40462,-121.6156
FMWT,802,38.03528,-121.83875
FMWT,804,38.02308,-121.79868
FMWT,809,38.0512,-121.69305
FMWT,812,38.08792,-121.64883
FMWT,815,38.0913,-121.57587
FMWT,902,38.0205,-121.58255
FMWT,906,38.05412,-121.51653
FMWT,910,38.00228,-121.45037
FMWT,912,37.96883,-121.37172
FMWT,914,37.94662,-121.53475
FMWT,915,37.949,-121.55908
FMWT,919,38.10572,-121.49525
FMWT,520,38.0328055556,-121.869305556
YBFMP,SHR,38.531881,-121.527912
YBFMP,STTD,38.353383,-121.643181
